ProjectName,Is ML consumer,libraries,where,keywords,line_number
BMSG-GAN-master/BMSG-GAN-master,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\BMSG-GAN-master\BMSG-GAN-master\sourcecode\generate_multi_scale_samples.py,.no_grad(,82
BMSG-GAN-master/BMSG-GAN-master,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\BMSG-GAN-master\BMSG-GAN-master\sourcecode\generate_multi_scale_samples.py,.no_grad(,118
BMSG-GAN-master/BMSG-GAN-master,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\BMSG-GAN-master\BMSG-GAN-master\sourcecode\generate_samples.py,.no_grad(,78
BMSG-GAN-master/BMSG-GAN-master,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\BMSG-GAN-master\BMSG-GAN-master\sourcecode\generate_samples.py,.no_grad(,114
