ProjectName,libraries
ankanbhunia_AdverseBiNet.csv,{'tensorflow'}
AnkitRai_PlantClassify_DeepLearning.csv,{'keras'}
Anmol-Singh-Jaggi_Sign-Language-Recognition.csv,{'sklearn'}
annomator_annomator_1.0.csv,{'tensorflow'}
annusgit_ForestCoverChange.csv,"{'tensorflow', 'sklearn', 'torch', 'keras'}"
anrputina_outlierdenstream.csv,{'sklearn'}
AnthonyMRios_leml.csv,{'sklearn'}
AntiAegis_Face-Attendance-System.csv,"{'sklearn', 'tensorflow'}"
AntiAegis_Human-Segmentation-PyTorch.csv,{'torch'}
AnubhavGupta3377_Text-Classification-Models-Pytorch.csv,{'torch'}
anujdutt9_Audio-Scene-Classification.csv,"{'tensorflow', 'torch'}"
Anurag14_accessfaceid.csv,{'tensorflow'}
apacha_Mensural-Detector.csv,"{'tensorflow', 'keras'}"
apacha_MusicScoreClassifier.csv,"{'tensorflow', 'torch', 'keras'}"
apacha_MusicSymbolClassifier.csv,"{'tensorflow', 'keras'}"
apayne19_DoubleAuctionMarket.csv,{'sklearn'}
Apm5_tensorflow_2.0_example.csv,{'tensorflow'}
apoorva-dave_LicensePlateDetector.csv,{'sklearn'}
appeler_ethnicolr.csv,"{'sklearn', 'tensorflow', 'keras'}"
appinho_SAComputerVisionMachineLearning.csv,"{'sklearn', 'tensorflow', 'keras'}"
apple_turicreate.csv,"{'libsvm', 'tensorflow', 'sklearn', 'xgboost', 'torch'}"
aqlaboratory_rgn.csv,{'tensorflow'}
aquaskyline_Clairvoyante.csv,{'tensorflow'}
aquaskyline_Skyhawk.csv,{'tensorflow'}
araffin_srl-zoo.csv,"{'sklearn', 'torch'}"
aravindsrinivas_flowpp.csv,{'tensorflow'}
ardamavi_Dog-Cat-Classifier.csv,{'keras'}
ardamavi_Game-Bot.csv,{'keras'}
ArkinDharawat_DeepImageRanking.csv,"{'sklearn', 'torch'}"
ARM-software_ML-KWS-for-MCU.csv,{'tensorflow'}
Armour_Automatic-Image-Colorization.csv,{'tensorflow'}
arose13_rosey.csv,"{'sklearn', 'keras'}"
art-programmer_FloorNet.csv,{'tensorflow'}
artem-oppermann_Deep-Autoencoders-For-Collaborative-Filtering.csv,{'tensorflow'}
artem-oppermann_Sentiment-Analysis-of-Netflix-Reviews.csv,{'tensorflow'}
ArtificiAI_Multilingual-Latent-Dirichlet-Allocation-LDA.csv,{'sklearn'}
arunponnusamy_gender-detection-keras.csv,{'keras'}
aryanmisra_Skin-Lesion-Classifier.csv,{'keras'}
ashwhall_dsnt.csv,{'tensorflow'}
AssembleSoftware_IoTPy.csv,"{'sklearn', 'sktime'}"
astorfi_3D-convolutional-speaker-recognition.csv,{'tensorflow'}
astorfi_sequence-to-sequence-from-scratch.csv,{'torch'}
astrazeneca-cgr-publications_mantis-ml-release.csv,"{'sklearn', 'xgboost', 'keras'}"
atomistic-machine-learning_schnetpack.csv,{'torch'}
Atomu2014_product-nets.csv,{'tensorflow'}
atulapra_Emotion-detection.csv,{'tensorflow'}
atulkum_pointer_summarizer.csv,{'torch'}
AuCson_PyTorch-Batch-Attention-Seq2seq.csv,{'torch'}
autonomio_talos.csv,{'tensorflow'}
autonomio_wrangle.csv,"{'sklearn', 'tensorflow', 'keras'}"
avanetten_simrdwn.csv,{'tensorflow'}
AVBelyy_Rysearch.csv,{'sklearn'}
avilash_pytorch-siamese-triplet.csv,"{'sklearn', 'torch'}"
avinashpaliwal_Super-SloMo.csv,{'torch'}
AvinashSingh786_Fraud-Analysis.csv,{'sklearn'}
AvivSham_DeepLabv3.csv,{'torch'}
aws-samples_deep-learning-models.csv,"{'sagemaker', 'mxnet', 'tensorflow', 'transformers'}"
aws-samples_machine-learning-using-k8s.csv,"{'tensorflow', 'torch', 'keras'}"
awslabs_mxnet-model-server.csv,"{'mxnet', 'torch'}"
AyanKumarBhunia_Handwriting_Recogition_using_Adversarial_Learning.csv,{'tensorflow'}
ayush1997_YouTube-Like-predictor.csv,{'sklearn'}
Azure_DataScienceVM.csv,"{'sklearn', 'tensorflow', 'keras'}"
BaderLab_saber.csv,{'keras'}
baidu-research_NCRF.csv,{'torch'}
BannyStone_Video_Classification_PyTorch.csv,{'torch'}
bareblackfoot_lddp-tf-faster-rcnn.csv,{'tensorflow'}
Bartzi_loans.csv,{'chainer'}
Bartzi_see.csv,"{'chainer', 'tensorflow'}"
bat67_Deep-Learning-with-PyTorch-A-60-Minute-Blitz-cn.csv,{'torch'}
bat67_TibetanMNIST.csv,"{'tensorflow', 'torch', 'keras'}"
BATspock_PathProjection.csv,{'keras'}
baumgach_acdc_segmenter.csv,{'tensorflow'}
bbfamily_abu.csv,{'sklearn'}
BBVA_timecop.csv,"{'sklearn', 'tensorflow', 'keras'}"
bdqnghi_ggnn.tensorflow.csv,{'tensorflow'}
becauseofAI_MobileFace.csv,"{'sklearn', 'mxnet'}"
bedapudi6788_deepsegment.csv,"{'tensorflow', 'keras'}"
benedekrozemberczki_ASNE.csv,{'tensorflow'}
benedekrozemberczki_DANMF.csv,{'sklearn'}
benedekrozemberczki_GRAF.csv,"{'sklearn', 'tensorflow'}"
benedekrozemberczki_role2vec.csv,{'sklearn'}
benedekrozemberczki_RolX.csv,{'tensorflow'}
BenWhetton_keras-surgeon.csv,{'tensorflow'}
beringresearch_ivis.csv,"{'sklearn', 'tensorflow'}"
BerkeleyAutomation_gqcnn.csv,"{'sklearn', 'tensorflow'}"
berkgulay_WeatherPredictionFromImage.csv,"{'sklearn', 'keras'}"
bertinetto_r2d2.csv,{'torch'}
bfelbo_DeepMoji.csv,{'keras'}
bfortuner_pytorch_tiramisu.csv,{'torch'}
BingyaoHuang_CompenNet.csv,{'torch'}
binny-mathew_Countering_Hate_Speech_ICWSM2019.csv,"{'catboost', 'sklearn', 'tensorflow', 'keras'}"
binzhouchn_capsule-pytorch.csv,"{'sklearn', 'torch'}"
bio-ontology-research-group_walking-rdf-and-owl.csv,{'sklearn'}
biocore_calour.csv,{'sklearn'}
bioinfomaticsCSU_deepsignal.csv,{'tensorflow'}
bioinform_neusomatic.csv,{'torch'}
bkj_ulm-basenet.csv,{'torch'}
blackeagle01_Abnormal_Event_Detection.csv,{'keras'}
BloodAxe_pytorch-toolbelt.csv,{'torch'}
blue-oil_blueoil.csv,{'tensorflow'}
bmcfee_pumpp.csv,{'sklearn'}
bobbens_sketch_simplification.csv,{'torch'}
BorgwardtLab_P-WL.csv,{'sklearn'}
boubinjg_SoftwarePilot.csv,"{'sklearn', 'tensorflow'}"
BradleyGrantham_pl-predictions-using-fifa.csv,{'tensorflow'}
braincreators_octconv.csv,{'torch'}
brainiak_brainiak.csv,"{'sklearn', 'tensorflow'}"
brandonrobertz_artificial_seinfeld.csv,{'keras'}
brannondorsey_GloVe-experiments.csv,{'sklearn'}
brendanhasz_probflow.csv,{'tensorflow'}
bryanlimy_tf2-transformer-chatbot.csv,{'tensorflow'}
BS-TrainingCenter_Gesture-Recognition-Mask-RCNN.csv,{'keras'}
bsamseth_tictacNET.csv,"{'sklearn', 'tensorflow'}"
buptxiaofeng_seizure-prediction.csv,{'sklearn'}
bxshi_ConMask.csv,{'tensorflow'}
bxshi_ProjE.csv,{'tensorflow'}
bzier_gym-mupen64plus.csv,{'gym'}
Cadene_recipe1m.bootstrap.pytorch.csv,"{'sklearn', 'torch'}"
Cadene_vqa.pytorch.csv,{'torch'}
cair_TextUnderstandingTsetlinMachine.csv,{'keras'}
calvdee_end-to-end-lead-scoring.csv,{'sklearn'}
CAMeL-Lab_camel_tools.csv,{'sklearn'}
capergroup_bayou.csv,"{'sklearn', 'tensorflow'}"
cardwing_Codes-for-Steering-Control.csv,"{'tensorflow', 'sklearn', 'torch'}"
carpedm20_SPIRAL-tensorflow.csv,{'tensorflow'}
carsdotcom_skelebot.csv,{'sklearn'}
Cartus_AGGCN_TACRED.csv,{'torch'}
Cartus_DCGCN.csv,{'mxnet'}
castorini_hedwig.csv,"{'torch', 'transformers'}"
catalyst-team_catalyst.csv,"{'sklearn', 'torch'}"
catalyst-team_classification.csv,{'torch'}
catnlp_metaLSTM.csv,{'torch'}
cauchyturing_UCR_Time_Series_Classification_Deep_Learning_Baseline.csv,{'tensorflow'}
cbg-ethz_pybda.csv,{'sklearn'}
