library,count
sklearn,593
tensorflow,811
keras,358
xgboost,28
torch,611
gym,40
tflearn,9
sagemaker,3
lightgbm,17
classy_vision,1
chainer,23
mxnet,22
libsvm,1
sktime,3
transformers,27
catboost,10
fastai,10
caffe,16
deepchem,2
cuml,6
stable_baselines,4
accelerate,1
scvi,2
ray,1
tf_agents,1
snorkel,3
tpot,2
anago,1
caffe2,1
deeppavlov,1
lightning,7
nlpaug,1
hmmlearn,4
deepspeed,1
tensorforce,1
h2o,2
prophet,2
qucumber,1
torch_mimicry,1
fastNLP,1
gluon,1
hyperpose,1
