ProjectName,Is ML producer,libraries,where,keywords,line_number
minisom-master/examples,Yes,sklearn,C:/Users/174907/Desktop/IGES-Project/MARK_New_Replication_Package/ML-Projects-input\minisom-master\examples\FeatureSelection.ipynb,.fit(,161
minisom-master/examples,Yes,sklearn,C:/Users/174907/Desktop/IGES-Project/MARK_New_Replication_Package/ML-Projects-input\minisom-master\examples\MovieCovers.ipynb,.fit_transform(,65
minisom-master/examples,Yes,sklearn,C:/Users/174907/Desktop/IGES-Project/MARK_New_Replication_Package/ML-Projects-input\minisom-master\examples\TopicModeling.ipynb,.fit_transform(,47
