Metric,Levene Statistic,p-value,Equal Variance
Stars,14.467817077506332,2.3182735508441874e-09,False
Size,3.490815778899072,0.015054159752765703,False
Forks,7.577421477518821,4.7619588444325364e-05,False
Commit Count,18.072331425229518,1.2519574570610354e-11,False
ContributorNumber,58.190802402437974,1.2339425030263961e-36,False
Project Age,71.33055588083782,1.1389591186347759e-44,False
Activity Rate,14.484573706853134,2.2628119029575633e-09,False
